recorded_at,attraction,wait_minutes,status,lightning_lane_cents
2026-08-17T21:55:21.775903+00:00,Seven Dwarfs Mine Train,60,OPERATING,1300
2026-08-17T21:55:21.775903+00:00,Tiana's Bayou Adventure,60,OPERATING,
2026-08-17T21:55:21.775903+00:00,Big Thunder Mountain Railroad,45,OPERATING,
2026-08-17T21:55:21.775903+00:00,TRON Lightcycle / Run,45,OPERATING,2000
2026-08-17T21:55:21.775903+00:00,Jungle Cruise,40,OPERATING,
2026-08-17T21:55:21.775903+00:00,Peter Pan's Flight,40,OPERATING,
2026-08-17T21:55:21.775903+00:00,Space Mountain,35,OPERATING,
2026-08-17T21:55:21.775903+00:00,Astro Orbiter,25,OPERATING,
2026-08-17T21:55:21.775903+00:00,Buzz Lightyear’s Space Ranger Spin,25,OPERATING,
2026-08-17T21:55:21.775903+00:00,The Many Adventures of Winnie the Pooh,25,OPERATING,
2026-08-17T21:55:21.775903+00:00,Enchanted Tales with Belle,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,Haunted Mansion,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,Mickey's PhilharMagic,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,The Barnstormer,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,The Magic Carpets of Aladdin,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,Tomorrowland Speedway,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,Walt Disney World Railroad - Fantasyland,15,OPERATING,
2026-08-17T21:55:21.775903+00:00,"Walt Disney World Railroad - Main Street, U.S.A.",15,OPERATING,
2026-08-17T21:55:21.775903+00:00,"""it's a small world""",10,OPERATING,
2026-08-17T21:55:21.775903+00:00,Country Bear Musical Jamboree,10,OPERATING,
2026-08-17T21:55:21.775903+00:00,"Monsters, Inc. Laugh Floor",10,OPERATING,
2026-08-17T21:55:21.775903+00:00,Pirates of the Caribbean,10,OPERATING,
2026-08-17T21:55:21.775903+00:00,Under the Sea - Journey of The Little Mermaid,10,OPERATING,
2026-08-17T21:55:21.775903+00:00,Walt Disney's Enchanted Tiki Room,10,OPERATING,
2026-08-17T21:55:21.775903+00:00,Dumbo the Flying Elephant,5,OPERATING,
2026-08-17T21:55:21.775903+00:00,Mad Tea Party,5,OPERATING,
2026-08-17T21:55:21.775903+00:00,Prince Charming Regal Carrousel,5,OPERATING,
2026-08-17T21:55:21.775903+00:00,Swiss Family Treehouse,5,OPERATING,
2026-08-17T21:55:21.775903+00:00,Tomorrowland Transit Authority PeopleMover,5,OPERATING,
2026-08-17T21:55:21.775903+00:00,A Pirate's Adventure ~ Treasures of the Seven Seas,,OPERATING,
2026-08-17T21:55:21.775903+00:00,Casey Jr. Splash 'N' Soak Station,,OPERATING,
2026-08-17T21:55:21.775903+00:00,Cinderella Castle,,OPERATING,
2026-08-17T21:55:21.775903+00:00,Main Street Vehicles,,CLOSED,
2026-08-17T21:55:21.775903+00:00,The Hall of Presidents,,OPERATING,
2026-08-17T21:55:21.775903+00:00,Walt Disney's Carousel of Progress,,REFURBISHMENT,
2026-08-17T21:55:37.520762+00:00,Seven Dwarfs Mine Train,60,OPERATING,1300
2026-08-17T21:55:37.520762+00:00,Tiana's Bayou Adventure,60,OPERATING,
2026-08-17T21:55:37.520762+00:00,Big Thunder Mountain Railroad,45,OPERATING,
2026-08-17T21:55:37.520762+00:00,TRON Lightcycle / Run,45,OPERATING,2000
2026-08-17T21:55:37.520762+00:00,Jungle Cruise,40,OPERATING,
2026-08-17T21:55:37.520762+00:00,Peter Pan's Flight,40,OPERATING,
2026-08-17T21:55:37.520762+00:00,Space Mountain,35,OPERATING,
2026-08-17T21:55:37.520762+00:00,Astro Orbiter,25,OPERATING,
2026-08-17T21:55:37.520762+00:00,Buzz Lightyear’s Space Ranger Spin,25,OPERATING,
2026-08-17T21:55:37.520762+00:00,The Many Adventures of Winnie the Pooh,25,OPERATING,
2026-08-17T21:55:37.520762+00:00,Enchanted Tales with Belle,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,Haunted Mansion,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,Mickey's PhilharMagic,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,The Barnstormer,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,The Magic Carpets of Aladdin,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,Tomorrowland Speedway,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,Walt Disney World Railroad - Fantasyland,15,OPERATING,
2026-08-17T21:55:37.520762+00:00,"Walt Disney World Railroad - Main Street, U.S.A.",15,OPERATING,
2026-08-17T21:55:37.520762+00:00,"""it's a small world""",10,OPERATING,
2026-08-17T21:55:37.520762+00:00,Country Bear Musical Jamboree,10,OPERATING,
2026-08-17T21:55:37.520762+00:00,"Monsters, Inc. Laugh Floor",10,OPERATING,
2026-08-17T21:55:37.520762+00:00,Pirates of the Caribbean,10,OPERATING,
2026-08-17T21:55:37.520762+00:00,Under the Sea - Journey of The Little Mermaid,10,OPERATING,
2026-08-17T21:55:37.520762+00:00,Walt Disney's Enchanted Tiki Room,10,OPERATING,
2026-08-17T21:55:37.520762+00:00,Dumbo the Flying Elephant,5,OPERATING,
2026-08-17T21:55:37.520762+00:00,Mad Tea Party,5,OPERATING,
2026-08-17T21:55:37.520762+00:00,Prince Charming Regal Carrousel,5,OPERATING,
2026-08-17T21:55:37.520762+00:00,Swiss Family Treehouse,5,OPERATING,
2026-08-17T21:55:37.520762+00:00,Tomorrowland Transit Authority PeopleMover,5,OPERATING,
2026-08-17T21:55:37.520762+00:00,A Pirate's Adventure ~ Treasures of the Seven Seas,,OPERATING,
2026-08-17T21:55:37.520762+00:00,Casey Jr. Splash 'N' Soak Station,,OPERATING,
2026-08-17T21:55:37.520762+00:00,Cinderella Castle,,OPERATING,
2026-08-17T21:55:37.520762+00:00,Main Street Vehicles,,CLOSED,
2026-08-17T21:55:37.520762+00:00,The Hall of Presidents,,OPERATING,
2026-08-17T21:55:37.520762+00:00,Walt Disney's Carousel of Progress,,REFURBISHMENT,
2026-08-17T22:41:11.917782+00:00,Seven Dwarfs Mine Train,65,OPERATING,1300
2026-08-17T22:41:11.917782+00:00,TRON Lightcycle / Run,55,OPERATING,2000
2026-08-17T22:41:11.917782+00:00,Big Thunder Mountain Railroad,45,OPERATING,
2026-08-17T22:41:11.917782+00:00,Peter Pan's Flight,40,OPERATING,
2026-08-17T22:41:11.917782+00:00,Space Mountain,40,OPERATING,
2026-08-17T22:41:11.917782+00:00,Buzz Lightyear’s Space Ranger Spin,35,OPERATING,
2026-08-17T22:41:11.917782+00:00,Jungle Cruise,35,OPERATING,
2026-08-17T22:41:11.917782+00:00,Astro Orbiter,30,OPERATING,
2026-08-17T22:41:11.917782+00:00,The Many Adventures of Winnie the Pooh,30,OPERATING,
2026-08-17T22:41:11.917782+00:00,Under the Sea - Journey of The Little Mermaid,25,OPERATING,
2026-08-17T22:41:11.917782+00:00,Enchanted Tales with Belle,20,OPERATING,
2026-08-17T22:41:11.917782+00:00,Pirates of the Caribbean,20,OPERATING,
2026-08-17T22:41:11.917782+00:00,Tomorrowland Speedway,20,OPERATING,
2026-08-17T22:41:11.917782+00:00,Mickey's PhilharMagic,15,OPERATING,
2026-08-17T22:41:11.917782+00:00,The Barnstormer,15,OPERATING,
2026-08-17T22:41:11.917782+00:00,Walt Disney World Railroad - Fantasyland,15,OPERATING,
2026-08-17T22:41:11.917782+00:00,"Walt Disney World Railroad - Main Street, U.S.A.",15,OPERATING,
2026-08-17T22:41:11.917782+00:00,Country Bear Musical Jamboree,10,OPERATING,
2026-08-17T22:41:11.917782+00:00,Haunted Mansion,10,OPERATING,
2026-08-17T22:41:11.917782+00:00,"Monsters, Inc. Laugh Floor",10,OPERATING,
2026-08-17T22:41:11.917782+00:00,The Magic Carpets of Aladdin,10,OPERATING,
2026-08-17T22:41:11.917782+00:00,Walt Disney's Enchanted Tiki Room,10,OPERATING,
2026-08-17T22:41:11.917782+00:00,"""it's a small world""",5,OPERATING,
2026-08-17T22:41:11.917782+00:00,Dumbo the Flying Elephant,5,OPERATING,
2026-08-17T22:41:11.917782+00:00,Mad Tea Party,5,OPERATING,
2026-08-17T22:41:11.917782+00:00,Prince Charming Regal Carrousel,5,OPERATING,
2026-08-17T22:41:11.917782+00:00,Swiss Family Treehouse,5,OPERATING,
2026-08-17T22:41:11.917782+00:00,Tomorrowland Transit Authority PeopleMover,5,OPERATING,
2026-08-17T22:41:11.917782+00:00,A Pirate's Adventure ~ Treasures of the Seven Seas,,CLOSED,
2026-08-17T22:41:11.917782+00:00,Casey Jr. Splash 'N' Soak Station,,CLOSED,
2026-08-17T22:41:11.917782+00:00,Cinderella Castle,,OPERATING,
2026-08-17T22:41:11.917782+00:00,Main Street Vehicles,,CLOSED,
2026-08-17T22:41:11.917782+00:00,The Hall of Presidents,,OPERATING,
2026-08-17T22:41:11.917782+00:00,Tiana's Bayou Adventure,,DOWN,
